MAF
GLIS1
EGR1
ZNF521
HOXA5
FLI1
EMX2
MEIS2
HOXA2
HOXA4
HOXA1
TCF7L1
OSR1
PLAGL1
HIC1
HAND2
HOXA7
PRDM8
TWIST2
HOXA3
RBMS3
SAMD4A
PABPC4L
SRP54
FBXO17
CSDA
GSPT2
AFF2
ZFP36L1
RBMS1
SMAD6
ZFP36
PURG
CELF2
PIWIL4
TDRD10
ZFP36L2
ZCCHC24
DZIP1
PTRF
CD44_1
CD44_2
CD44_3
CD44_5
CD44_6
CD44_7
CD44_9
