name
LSM6
RPLP2
TDRD6
PCBP3
RPS20
SRP54
ZFP36L2
ZFP36L1
DDX26B
HABP4
ADARB1
SPATS2L
RBPMS
PTRF
REXO2
SRPK2
AFF2
DZIP1
CCAR1
EIF2AK1
PRIM1
CELF2
RNASE6
SMAD6
PIWIL4
SAMD4A
CSDA
METTL2A
SFRS13B
LARP1B
RBMS2
LCMT2
RBMS3
DZIP1L
GSPT2
ZCCHC5
IGF2BP2
PURG
FBXO17
HAND2
ZCCHC24
RBMS1
ZFP36
QKI
KHDRBS3
PLAGL1
HOXA3
PABPC4L
MEIS2
GLI1
KIAA0427
HOXA1
MSC
GLIS1
ZNF521
LARP4
HIC1
TWIST2
NOVA2
TCF7L1
ERI2
SHOX2
HOXA9
TDRD10
ETS2
EGR1
HOXA5
BACH2
GLI2
OSR1
HOXA2
KLF2
TCF4
SOX17
MAF
EMX2
HOXA4
HOXA7
EXOC1
PRDM8
FLI1
REPS1
GTF3A
PTGER3
SYNE1_2
NLRC5
PARD3
PICALM
EMC8
MTMR9LP_2
BAIAP2
PBRM1_2
KIAA1217_3
ARNT_2
MTMR9LP_3
EHBP1_2
MARK3_4
VPS39
EPB41L1
EPB41_5
AKAP13
ERP29
RAI14
EXOC7_4
FNIP1
FGFR1_4
CTNND1_6
